DATE,PROFITS,INVESTMENT,RECESSION,PROFITS_YOY,INVEST_YOY,P_z,I_z
1963-06-30,64.064,101.65,0.0,10.405680212318602,5.11240253965628,0.1732050714449151,-0.1739288118194538
1963-09-30,65.769,104.612,0.0,10.060746021386624,6.572942135289317,0.15184683282737618,-0.05827062251571416
1963-12-31,67.404,107.189,0.0,11.055458529673423,12.868545194170666,0.21343918193732486,0.4402698159238934
1964-03-31,70.805,110.474,0.0,17.17250281326539,10.818645989025889,0.592205030257574,0.2779410224895326
1964-06-30,70.797,110.518,0.0,10.509802697302707,8.724053123462848,0.17965230960861506,0.11207299749117441
1964-09-30,72.492,112.631,0.0,10.222141130319763,7.665468588689639,0.1618403775060985,0.02824509519884056
1964-12-31,71.69,114.984,0.0,6.358673075781862,7.27220143858045,-0.0773845957478048,-0.0028972077077482395
1965-03-31,79.043,126.542,0.0,11.63477155568109,14.544598729112735,0.2493100992572036,0.572994267631423
1965-06-30,81.806,127.052,0.0,15.55009393053377,14.960458929767096,0.49174587902362155,0.6059256841811581
1965-09-30,83.277,131.237,0.0,14.877503724548902,16.51943070735409,0.4500992621068389,0.7293785871428158
1965-12-31,88.313,133.752,0.0,23.187334356256105,16.322270924650397,0.9646418913074813,0.7137657660051976
1966-03-31,90.826,144.2,0.0,14.90707589539868,13.95426024561015,0.4519303635112595,0.526246147770536
1966-06-30,91.204,143.501,0.0,11.488154903063341,12.946667506217935,0.2402316328881442,0.44645621797873986
1966-09-30,90.553,143.194,0.0,8.737106283847872,9.110997660720678,0.06988739215370796,0.14271462108975727
1966-12-31,88.953,145.855,0.0,0.7246951184989747,9.048836652909852,-0.4262390982616829,0.1377921735024465
1967-03-31,85.784,142.811,0.0,-5.551273864311968,-0.9632454923716893,-0.8148455241105564,-0.6550513040355007
1967-06-30,85.602,137.495,0.0,-6.142274461646413,-4.185336687549213,-0.8514401329165774,-0.9102044231429859
1967-09-30,87.148,142.835,0.0,-3.7602288162733477,-0.25070882858219123,-0.7039444638027542,-0.5986264726972569
1967-12-31,91.881,147.653,0.0,3.2916259148089377,1.2327311370881944,-0.2672953869578969,-0.4811548335282588
1968-03-31,95.276,152.288,0.0,11.065000466287401,6.636043442031769,0.21403001626002313,-0.05327371390580504
1968-06-30,97.59,158.943,0.0,14.004345692857644,15.59911269500709,0.39603353571046634,0.6564998269846322
1968-09-30,98.14,155.683,0.0,12.613026116491488,8.994994224104724,0.3098833763858966,0.1335284631299677
1968-12-31,100.619,160.76,0.0,9.510127229786347,8.87689379829737,0.11775265530752926,0.12417624738332173
1969-03-31,100.694,172.388,0.0,5.686636718586002,13.19867619247741,-0.11899691848643794,0.4664124508865866
1969-06-30,97.803,172.721,0.0,0.21826006762988293,8.66851638637749,-0.4575974296335954,0.10767511709797196
1969-09-30,94.702,177.564,0.0,-3.503158752802127,14.054842211416796,-0.6880267499275098,0.5342110999543659
1969-12-31,93.411,171.573,0.0,-7.163656963396569,6.726175665588463,-0.9146838813348391,-0.046136262921486614
1970-03-31,86.399,168.113,1.0,-14.19647645341331,-2.479870988699917,-1.3501543008256032,-0.7751508612687853
1970-06-30,86.35,171.455,1.0,-11.7102747359488,-0.7329739869500473,-1.1962093138428147,-0.6368164095862543
1970-09-30,88.276,173.904,1.0,-6.785495554476151,-2.0612286274244718,-0.8912682217104798,-0.7419991291173719
1970-12-31,84.026,166.754,0.6666666666666666,-10.046996606395398,-2.808716989269888,-1.0932195490927585,-0.8011917389686566
1971-03-31,94.536,189.495,0.0,9.417933077929153,12.718826027731357,0.11204401654026978,0.42841375413261384
1971-06-30,97.736,197.329,0.0,13.185871453387389,15.09084016214166,0.34535381601761134,0.6162504006768422
1971-09-30,101.096,202.058,0.0,14.522633558385078,16.18939184837611,0.42812579039418025,0.7032432485711007
1971-12-31,103.715,198.411,0.0,23.432032942184566,18.984252251820056,0.9797935663951651,0.924564529134495
1972-03-31,109.925,212.968,0.0,16.278454768553765,12.387134225177432,0.5368457994927102,0.4021475211561275
1972-06-30,111.285,226.798,0.0,13.862855038061706,14.933942806176482,0.3872724698412977,0.603825907597891
1972-09-30,115.772,233.09,0.0,14.51689483263432,15.357966524463285,0.42777044993455765,0.6374037822584095
1972-12-31,126.556,239.715,0.0,22.022851082292803,20.817394196894323,0.8925373789532804,1.0697286032465227
1973-03-31,141.563,254.313,0.0,28.781441892199222,19.41371473648623,1.3110276273286676,0.9585730924756664
1973-06-30,145.069,268.196,0.0,30.35808958979196,18.253247383133896,1.408653257452472,0.8666772251974769
1973-09-30,145.145,264.335,0.0,25.371419686970942,13.404693466043138,1.0998799073720384,0.4827266849526461
1973-12-31,152.745,280.858,0.3333333333333333,20.69360599260408,17.16329808314039,0.8102308562799098,0.7803655888357875
1974-03-31,157.26,268.361,1.0,11.088349356823457,5.523901648755669,0.21547577370777415,-0.1413427443134173
1974-06-30,162.207,277.391,1.0,11.813688658500432,3.428462766036766,0.2603886014040895,-0.3072777642858656
1974-09-30,172.572,271.013,1.0,18.896276137655434,2.526339682599721,0.6989406423040214,-0.3787156922074378
1974-12-31,154.068,281.339,1.0,0.8661494647942636,0.17126092188934905,-0.4174802806057708,-0.5652112490180001
1975-03-31,133.019,244.306,1.0,-15.414600025435576,-8.963672068594164,-1.4255802069864423,-1.2885944508492315
1975-06-30,140.826,243.281,0.0,-13.181305369065456,-12.296721955651059,-1.28729516181551,-1.552534241286033
1975-09-30,167.855,265.192,0.0,-2.733351876318302,-2.147867445473084,-0.6403605011484602,-0.7488599419627611
1975-12-31,177.391,276.236,0.0,15.13812082976347,-1.8138260248312554,0.46623660791748567,-0.7224076458528856
1976-03-31,193.546,304.638,0.0,45.502522196077244,24.695259224087817,2.3463927272867755,1.3768115804903553
1976-06-30,195.931,322.303,0.0,39.12984818144378,32.48178032809796,1.9517983501141973,1.9934158372717923
1976-09-30,197.82,328.307,0.0,17.85171725596497,23.799737548643996,0.634261818250844,1.3058964092935132
1976-12-31,197.559,337.65,0.0,11.369235192315275,22.232438929031684,0.23286815421523183,1.1817841147794825
1977-03-31,212.751,360.313,0.0,9.922705713370462,18.275789625719717,0.1432994115657096,0.8684623154258535
1977-06-30,227.171,389.703,0.0,15.944388585777624,20.91199895750271,0.516160505215257,1.0772202284952974
1977-09-30,235.983,414.134,0.0,19.291780406430092,26.142299737745468,0.7234301674621992,1.4914007954347528
1977-12-31,238.067,422.299,0.0,20.504254425260314,25.070042943876803,0.7985062547058933,1.4064902051171164
1978-03-31,238.131,434.799,0.0,11.92943863953635,20.672581894075435,0.26755581120796845,1.0582611094633925
1978-06-30,270.75,470.584,0.0,19.183346465878138,20.754523316474362,0.7167159650507445,1.0647499417908208
1978-09-30,277.887,492.368,0.0,17.757211324544553,18.89098697523024,0.6284100346726598,0.9171789758447774
1978-12-31,294.871,515.755,0.0,23.86050985646897,22.130291570664397,1.0063247494961114,1.1736952012394153
1979-03-31,294.758,525.809,0.0,23.779768278804525,20.93151088203975,1.0013252512513757,1.0787653518651346
1979-06-30,303.309,539.293,0.0,12.025484764542949,14.600793907145171,0.2735029631868381,0.5774442890880586
1979-09-30,307.044,545.621,0.0,10.492394390525629,10.815690702888903,0.17857439161774394,0.2777069973083597
1979-12-31,300.4,547.875,0.0,1.8750572284151446,6.227763182131052,-0.35500896484469646,-0.08560488502212822
1980-03-31,308.567,554.562,0.6666666666666666,4.684860122541212,5.468335460214657,-0.1810266741391905,-0.14574295692824762
1980-06-30,259.369,519.294,1.0,-14.486876419756744,-3.708373741175952,-1.3681357939299252,-0.8724343613744118
1980-09-30,273.866,495.071,0.3333333333333333,-10.80561743593752,-9.264672730705003,-1.140193160649843,-1.3124302932071223
1980-12-31,287.493,551.472,0.0,-4.296604527296932,0.6565366187542665,-0.7371567133444442,-0.526782911586874
